grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
51,.0824184556846225,.1030368341448663,.0206183784602438,0,.0149614890691452,.0040802106472694,.0069642762004972,.0229587019377932,.7256384927647849,-.2254508678587982,1060,60
52,.0843813009561791,.1030368341448663,.0186555331886872,0,.0135371729847624,.003691779413873,.0063012853335713,.0207730606359535,.7256384927647849,-.2254508678587982,1060,60
53,.0863441462277357,.1030368341448663,.0166926879171306,0,.0121128569003796,.0033033481804765,.0056382944666457,.0185874193341135,.7256384927647849,-.2254508678587982,1060,60
54,.0883069914992923,.1030368341448663,.014729842645574,0,.0106885408159968,.00291491694708,.00497530359972,.0164017780322736,.7256384927647849,-.2254508678587982,1060,60
55,.0902698367708489,.1030368341448663,.0127669973740174,0,.009264224731614,.0025264857136836,.0043123127327941,.0142161367304339,.7256384927647849,-.2254508678587982,1060,60
56,.09223268204240551,.1030368341448663,.0108041521024608,0,.0078399086472311,.0021380544802871,.0036493218658684,.0120304954285938,.7256384927647849,-.2254508678587982,1060,60
57,.09419552731396209,.1030368341448663,.0088413068309042,0,.0064155925628483,.0017496232468906,.0029863309989427,.009844854126753899,.7256384927647849,-.2254508678587982,1060,60
58,.09615837258551869,.1030368341448663,.0068784615593476,0,.0049912764784655,.0013611920134941,.0023233401320171,.0076592128249139,.7256384927647849,-.2254508678587982,1060,60
59,.0981212178570753,.1030368341448663,.004915616287791,0,.0035669603940827,.0009727607800977,.0016603492650912,.0054735715230742,.7256384927647849,-.2254508678587982,1060,60
60,.1000840631286319,.1030368341448663,.0029527710162344,0,.0021426443096999,.0005843295467012,.0009973583981655,.0032879302212343,.7256384927647849,-.2254508678587982,1060,60
61,.1020469084001885,.1030368341448663,.0009899257446777999,0,.0007183282253171,.0001958983133047,.0003343675312399,.0011022889193943,.7256384927647849,-.2254508678587982,1060,60
62,.1040097536717451,.1030368341448663,0,.0009729195268788,-.0002193455516916,.0000759005230719,-.0003681105769125,-.0000705805264707,.7256384927647849,-.2254508678587982,1060,60
63,.1059725989433017,.1030368341448663,0,.0029357647984354,-.0006618707216366,.0002290282779421,-.0011107661464031,-.0002129752968701,.7256384927647849,-.2254508678587982,1060,60
64,.1079354442148583,.1030368341448663,0,.004898610069992,-.0011043958915815,.0003821560328123,-.0018534217158936,-.0003553700672694,.7256384927647849,-.2254508678587982,1060,60
65,.1098982894864149,.1030368341448663,0,.0068614553415486,-.0015469210615265,.0005352837876825,-.0025960772853842,-.0004977648376688,.7256384927647849,-.2254508678587982,1060,60
66,.1118611347579715,.1030368341448663,0,.0088243006131052,-.0019894462314715,.0006884115425526,-.0033387328548746,-.0006401596080683999,.7256384927647849,-.2254508678587982,1060,60
67,.1138239800295281,.1030368341448663,0,.0107871458846618,-.0024319714014165,.0008415392974228,-.0040813884243652,-.0007825543784678,.7256384927647849,-.2254508678587982,1060,60
68,.1157868253010847,.1030368341448663,0,.0127499911562184,-.0028744965713614,.0009946670522930001,-.0048240439938557,-.0009249491488671,.7256384927647849,-.2254508678587982,1060,60
69,.1177496705726413,.1030368341448663,0,.014712836427775,-.0033170217413064,.0011477948071632,-.0055666995633463,-.0010673439192665,.7256384927647849,-.2254508678587982,1060,60
70,.1197125158441979,.1030368341448663,0,.0166756816993316,-.0037595469112514,.0013009225620334,-.0063093551328369,-.0012097386896659,.7256384927647849,-.2254508678587982,1060,60
71,.1216753611157545,.1030368341448663,0,.0186385269708882,-.0042020720811964,.0014540503169036,-.0070520107023275,-.0013521334600653,.7256384927647849,-.2254508678587982,1060,60
72,.1236382063873111,.1030368341448663,0,.0206013722424448,-.0046445972511413,.0016071780717738,-.0077946662718179,-.0014945282304647,.7256384927647849,-.2254508678587982,1060,60
73,.1256010516588677,.1030368341448663,0,.0225642175140014,-.0050871224210863,.001760305826644,-.008537321841308501,-.0016369230008641,.7256384927647849,-.2254508678587982,1060,60
74,.1275638969304243,.1030368341448663,0,.024527062785558,-.0055296475910313,.0019134335815142,-.0092799774107991,-.0017793177712635,.7256384927647849,-.2254508678587982,1060,60
75,.1295267422019809,.1030368341448663,0,.0264899080571146,-.0059721727609763,.0020665613363844,-.0100226329802897,-.0019217125416629,.7256384927647849,-.2254508678587982,1060,60
76,.1314895874735375,.1030368341448663,0,.0284527533286712,-.0064146979309212,.0022196890912546,-.0107652885497802,-.0020641073120622,.7256384927647849,-.2254508678587982,1060,60
77,.1334524327450941,.1030368341448663,0,.0304155986002278,-.0068572231008662,.0023728168461247,-.0115079441192706,-.0022065020824618,.7256384927647849,-.2254508678587982,1060,60
78,.1354152780166507,.1030368341448663,0,.0323784438717844,-.0072997482708112,.0025259446009949,-.0122505996887612,-.0023488968528612,.7256384927647849,-.2254508678587982,1060,60
79,.1373781232882073,.1030368341448663,0,.034341289143341,-.0077422734407562,.0026790723558651,-.0129932552582518,-.0024912916232606,.7256384927647849,-.2254508678587982,1060,60
80,.1393409685597639,.1030368341448663,0,.0363041344148976,-.008184798610701099,.0028322001107353,-.0137359108277423,-.0026336863936599,.7256384927647849,-.2254508678587982,1060,60
81,.1413038138313205,.1030368341448663,0,.0382669796864542,-.008627323780646101,.0029853278656055,-.0144785663972329,-.0027760811640593,.7256384927647849,-.2254508678587982,1060,60
82,.1432666591028771,.1030368341448663,0,.0402298249580108,-.009069848950591101,.0031384556204757,-.0152212219667235,-.0029184759344587,.7256384927647849,-.2254508678587982,1060,60
83,.1452295043744337,.1030368341448663,0,.0421926702295674,-.009512374120536101,.0032915833753459,-.0159638775362141,-.0030608707048581,.7256384927647849,-.2254508678587982,1060,60
84,.1471923496459903,.1030368341448663,0,.044155515501124,-.009954899290481,.0034447111302161,-.0167065331057046,-.0032032654752574,.7256384927647849,-.2254508678587982,1060,60
85,.1491551949175469,.1030368341448663,0,.0461183607726806,-.010397424460426,.0035978388850863,-.0174491886751951,-.0033456602456569,.7256384927647849,-.2254508678587982,1060,60
86,.1511180401891035,.1030368341448663,0,.0480812060442372,-.010839949630371,.0037509666399565,-.0181918442446857,-.0034880550160563,.7256384927647849,-.2254508678587982,1060,60
