grid_index,theta,cutoff,low_part,high_part,marginal_effect,se,ci_low,ci_high,a_coef,b_coef,N_model,N_countries
63,.0832683838607803,.0041231435658208,0,.07914524029495951,-.06366123195988931,.025838025761817,-.1143037624530506,-.013018701466728,3.380271891177528,-.8043595764272844,1060,60
64,.084978445286626,.0041231435658208,0,.0808553017208052,-.0650367362440471,.0263962982619778,-.1167734808375236,-.0132999916505706,3.380271891177528,-.8043595764272844,1060,60
65,.08668850671247171,.0041231435658208,0,.0825653631466509,-.066412240528205,.0269545707621385,-.1192431992219965,-.0135812818344135,3.380271891177528,-.8043595764272844,1060,60
66,.0883985681383174,.0041231435658208,0,.08427542457249659,-.0677877448123629,.0275128432622993,-.1217129176064695,-.0138625720182563,3.380271891177528,-.8043595764272844,1060,60
67,.0901086295641631,.0041231435658208,0,.0859854859983423,-.0691632490965208,.02807111576246,-.1241826359909424,-.0141438622020992,3.380271891177528,-.8043595764272844,1060,60
68,.09181869099000881,.0041231435658208,0,.087695547424188,-.07053875338067871,.0286293882626208,-.1266523543754155,-.0144251523859419,3.380271891177528,-.8043595764272844,1060,60
69,.0935287524158545,.0041231435658208,0,.08940560885003369,-.0719142576648366,.0291876607627815,-.1291220727598883,-.0147064425697849,3.380271891177528,-.8043595764272844,1060,60
70,.0952388138417002,.0041231435658208,0,.0911156702758794,-.0732897619489945,.0297459332629423,-.1315917911443614,-.0149877327536276,3.380271891177528,-.8043595764272844,1060,60
71,.09694887526754591,.0041231435658208,0,.0928257317017251,-.07466526623315239,.0303042057631031,-.1340615095288345,-.0152690229374703,3.380271891177528,-.8043595764272844,1060,60
72,.0986589366933916,.0041231435658208,0,.09453579312757079,-.0760407705173102,.0308624782632638,-.1365312279133072,-.0155503131213132,3.380271891177528,-.8043595764272844,1060,60
73,.1003689981192373,.0041231435658208,0,.0962458545534165,-.07741627480146809,.0314207507634246,-.1390009462977803,-.0158316033051559,3.380271891177528,-.8043595764272844,1060,60
74,.102079059545083,.0041231435658208,0,.0979559159792622,-.078791779085626,.0319790232635853,-.1414706646822532,-.0161128934889988,3.380271891177528,-.8043595764272844,1060,60
75,.1037891209709287,.0041231435658208,0,.09966597740510789,-.0801672833697839,.0325372957637461,-.1439403830667263,-.0163941836728415,3.380271891177528,-.8043595764272844,1060,60
